Title,Period,Date,Culture,Medium,Dimensions,Classification,Credit Line,Accession Number
Bronze patera (shallow bowl with handle),NULL-PERIOD,late 4th–early 3rd century B.C.,Etruscan,Bronze,H. 18 1/4 in. (46.4 cm); diameter 9 5/8 in. (24.5 cm),Bronzes,Rogers Fund 1903,03.24.4
Silver and gilt amphoriskos (scented oil flask),Hellenistic,early 3rd century B.C.,Apulian possibly Tarentine,Silver gold,H. 6 1/16 in. (15.4 cm),Gold and Silver,Rogers Fund 1903,03.24.5
Silver and gilt pyxis (box with lid),Hellenistic,early 3rd century B.C.,Apulian possibly Tarentine,Silver gold,H. with cover  3 5/16 in. (8.4 cm),Gold and Silver,Rogers Fund 1903,03.24.6
Silver strigil (scraper),Hellenistic,early 3rd century B.C.,Possibly South Italian or Etruscan,Silver,H. 10 3/4 in. (27.3 cm),Gold and Silver,Rogers Fund 1903,03.24.7
Bronze bowl from a thymiaterion (incense burner),Late Classical,late 4th century B.C.,Etruscan,Bronze,H. 4 7/16 in. (11.3 cm),Bronzes,Rogers Fund 1903,03.24.8
Bronze patera (shallow bowl),Late Classical,late 4th century B.C.,Etruscan,Bronze,H. 2 3/4 in. (7 cm); diameter  14 in. (35.6 cm),Bronzes,Rogers Fund 1903,03.24.9
Bronze shield boss with griffin and sphinx frieze,Archaic,ca. 650 B.C.,Etruscan,Bronze,diameter  4 5/16in. (11cm),Bronzes,Rogers Fund 1903,3.25
Terracotta vase in the form of a black African youth's head,Classical,4th century B.C.,Etruscan,Terracotta,H. 9 in. (22.9 cm),Vases,Rogers Fund 1903,03.3.1
Terracotta rhyton (vase for libations or drinking),Late Classical,ca. 350–300 B.C.,Greek South Italian Apulian,Terracotta; red-figure,H. 8 1/4 in. (21 cm),Vases,Rogers Fund 1903,03.3.2
Terracotta rhyton (vase for libations or drinking),Late Classical,ca. 350–300 B.C.,Greek South Italian Apulian,Terracotta; red-figure,H. 6 1/2 in. (16.5 cm),Vases,Rogers Fund 1903,03.3.3
Bronze furniture attachment with griffin heads,Archaic,6th century B.C.,Etruscan,Bronze,H.: 4 1/2 in. (11.4 cm),Bronzes,Gift of Bashford Dean 1903,03.6.2
Marble statue of a togatus (man wearing a toga),Augustan,1st century A.D.,Roman,Marble,H. 72 in. (182.9 cm),Stone Sculpture,Gift of John D. Crimmins 1904,4.15
Painted limestone funerary stele with a woman in childbirth,Early Hellenistic,late 4th–early 3rd century B.C.,Greek,Limestone paint,Other: 4 3/8 in. (11.1 cm),Miscellaneous-Paintings,Gift of Darius Ogden Mills 1904,04.17.1
Painted limestone funerary stele with a seated man and two standing figures,Early Hellenistic,late 4th–early 3rd century B.C.,Greek,Limestone paint,H.: 29 1/8 x 5 1/4 in. (74 x 13.3 cm),Miscellaneous-Paintings,Gift of Darius Ogden Mills 1904,04.17.2
Painted limestone funerary slab with a man controlling a rearing horse,Hellenistic,2nd half of 3rd century B.C.,Greek,Limestone paint,H.: 15 1/2 x 2 3/4 in. (39.4 x 7 cm),Miscellaneous-Paintings,Gift of Darius Ogden Mills 1904,04.17.3
Painted limestone funerary slab with a soldier and two girls,Hellenistic,2nd half of 3rd century B.C.,Greek,Limestone paint,Other (Panel): 7 1/4 × 6 3/4 in. (18.4 × 17.1 cm),Miscellaneous-Paintings,Gift of Darius Odgen Mills 1904,04.17.4
Painted limestone funerary slab with a soldier standing at ease,Hellenistic,2nd half of 3rd century B.C.,Greek,Limestone paint,H.: 15 x 3 1/2 in. (38.1 x 8.9 cm),Miscellaneous-Paintings,Gift of Darius Ogden Mills 1904,04.17.5
Painted limestone funerary slab with a soldier taking a kantharos from his attendant,Hellenistic,2nd half of 3rd century B.C.,Greek,Limestone paint,Other (Panel): 9 3/4 × 7 7/8 in. (24.8 × 20 cm),Miscellaneous-Paintings,Gift of Darius Odgen Mills 1904,04.17.6
Handle in the form of a panther,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Bronze,Other: 2 1/2 in. (6.4 cm),Bronzes,Gift of Darius Ogden Mills 1904,04.2.659
Pair of bronze greaves,Late Classical,ca. 4th century B.C.,Etruscan,Bronze,H. 19 7/8 in. (50.5 cm),Bronzes,Rogers Fund 1904,04.27.1 .2
Bronze helmet of Chalcidian type,Archaic,2nd half of the 6th century B.C.,Greek,Bronze,H. 7 7/8 in. (20 cm),Bronzes,Rogers Fund 1904,04.27.3
Mosaic,NULL-PERIOD,NULL-DATE,Roman,Tile mortar,NULL-DIMENSIONS,Miscellaneous-Mosaic,Rogers Fund 1904,4.37
Bronze statue of the emperor Trebonianus Gallus,Imperial,A.D. 251–253,Roman,Bronze,H. 95 in. (241.3 cm),Bronzes,Rogers Fund 1905,5.3
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/4 × 1/16 in. 0.3oz. (3.1 × 0.2 cm 7.93g),Coins,Gift of J. Pierpont Morgan 1905,05.44.102
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/8 × 3/16 in. 0.6oz. (2.8 × 0.5 cm 17.44g),Coins,Gift of J. Pierpont Morgan 1905,05.44.134
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,NULL-MEDIUM,Diameter: 1 × 3/16 in. 0.6oz. (2.6 × 0.4 cm 17.22g),Coins,Gift of J. Pierpont Morgan 1905,05.44.150
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 13/16 × 1/8 in. 0.2oz. (2 × 0.3 cm 5.36g),Coins,Gift of J. Pierpont Morgan 1905,05.44.161
Tetradrachm,Classical,ca. 430–420 B.C.,NULL-CULTURE,Silver,Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.4 cm 17.08g),Coins,Gift of J. Pierpont Morgan 1905,05.44.164
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.4 cm 17.13g),Coins,Gift of J. Pierpont Morgan 1905,05.44.172
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 3/16 in. 0.6oz. (2.8 × 0.4 cm 17.04g),Coins,Gift of J. Pierpont Morgan 1905,05.44.189
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 3/16 in. 0.6oz. (2.7 × 0.5 cm 16.77g),Coins,Gift of J. Pierpont Morgan 1905,05.44.208
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 × 1/8 in. 0.3oz. (2.5 × 0.3 cm 8.43g),Coins,Gift of J. Pierpont Morgan 1905,05.44.230
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.4 cm 16.94g),Coins,Gift of J. Pierpont Morgan 1905,05.44.236
Tetradrachm,Classical,ca. 460 B.C.,Greek,Silver,Diameter: 15/16 × 3/16 in. 0.6oz. (2.5 × 0.5 cm 17.11g),Coins,Gift of J. Pierpont Morgan 1905,05.44.245
Stater,Late Classical–Hellenistic,ca. 334–302 B.C.,Greek South Italian Tarentine,Silver,Diameter: 3/4 × 1/16 in. 0.3oz. (1.9 × 0.2 cm 7.92g),Coins,Gift of J. Pierpont Morgan 1905,05.44.26
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.4 cm 17.28g),Coins,Gift of J. Pierpont Morgan 1905,05.44.262
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 3/16 in. 0.6oz. (2.7 × 0.5 cm 17.06g),Coins,Gift of J. Pierpont Morgan 1905,05.44.281
Silver dekadrachm,Classical,405–400 B.C.,Greek Sicilian Syracuse,Silver,diameter  1 7/16 in. (3.7 cm),Coins,Gift of J. Pierpont Morgan 1905,05.44.292
Silver dekadrachm,Classical,400–390 B.C.,Greek Sicilian Syracuse,Silver,1 3/8 × 1 5/8 in. (3.5 × 4.2 cm),Coins,Gift of J. Pierpont Morgan 1905,05.44.295
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Electrum,Diameter: 5/8 × 1/8 in. 0.1oz. (1.5 × 0.3 cm 3.55g),Coins,Gift of J. Pierpont Morgan 1905,05.44.304
Silver 16-litra coin of Hieron II,Hellenistic,ca. 276–215 B.C.,Greek,Silver,Diameter: 1 × 1/8 in. 0.5oz. (2.6 × 0.3 cm 13.22g),Coins,Gift of J. Pierpont Morgan 1905,05.44.338
Gold stater,Early Hellenistic,ca. 323/2–315 B.C.,Greek,Gold,18 mm.,Coins,Gift of J. Pierpont Morgan 1905,05.44.384
Silver tetradrachm of Philip II,Late Classical,ca. 359–336 B.C.,Greek Macedonian,Silver,Diameter: 7/8 × 1/8 in. 0.5oz. (2.3 × 0.4 cm 14.35g),Coins,Gift of J. Pierpont Morgan 1905,05.44.386
Silver tetradrachm,Hellenistic,315–308 B.C.,Greek,Silver,Diam.: 1 1/16 in. (2.7 cm),Coins,Gift of J. Pierpont Morgan 1905,05.44.388
Silver tetradrachm of Demetrios Poliorketes,Hellenistic,300–294 BC,NULL-CULTURE,Silver,Diameter: 1 × 1/8 in. 0.6oz. (2.6 × 0.3 cm 16.68g),Coins,Gift of J. Pierpont Morgan 1905,05.44.399
Silver tetradrachm of Lysimachos,Hellenistic,297–281 B.C.,Greek Macedonian,Silver,Diameter: 1 1/16 × 1/8 in. 0.6oz. (2.7 × 0.3 cm 17.01g),Coins,Gift of J. Pierpont Morgan 1905,05.44.430
Drachm,NULL-PERIOD,ca. 380 B.C.,NULL-CULTURE,Silver,Other: 0.2oz. (5.99g),Coins,Gift of J. Pierpont Morgan 1905,05.44.444
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 7/8 × 3/16 in. 0.4oz. (2.3 × 0.5 cm 11.98g),Coins,Gift of J. Pierpont Morgan 1905,05.44.486
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 15/16 × 5/16 in. 0.6oz. (2.4 × 0.7 cm 16.75g),Coins,Gift of J. Pierpont Morgan 1905,05.44.499
Coin,Late Classical,4th century B.C.,Greek,Silver,Diameter: 1 1/4 × 1/8 in. 0.6oz. (3.1 × 0.4 cm 16.72g),Coins,Gift of J. Pierpont Morgan 1905,05.44.503
Coin,NULL-PERIOD,NULL-DATE,Greek Aeginetan,Silver,Diameter: 7/8 × 1/4 in. (2.2 × 0.7 cm 12.25g),Coins,Gift of J. Pierpont Morgan 1905,05.44.513
Coin,NULL-PERIOD,NULL-DATE,Greek Corinthian,Silver,Diameter: 3/4 × 3/16 in. 0.3oz. (2 × 0.5 cm 8.56g),Coins,Gift of J. Pierpont Morgan 1905,05.44.520
Coin,NULL-PERIOD,NULL-DATE,Greek Peloponnesian-Elis,Silver,Diameter: 15/16 × 3/16 in. 0.4oz. (2.4 × 0.4 cm 11.56g),Coins,Gift of J. Pierpont Morgan 1905,05.44.533
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 1/8 in. 0.4oz. (2.7 × 0.3 cm 11.88g),Coins,Gift of J. Pierpont Morgan 1905,05.44.569
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 × 1/16 in. 0.3oz. (2.6 × 0.1 cm 7.82g),Coins,Gift of J. Pierpont Morgan 1905,05.44.57
Coin,Hellenistic,2nd–1st century B.C.,Greek Cretan,Silver,Diameter: 1 × 3/16 in. 0.4oz. (2.5 × 0.4 cm 11.15g),Coins,Gift of J. Pierpont Morgan 1905,05.44.574
Coin,NULL-PERIOD,NULL-DATE,Greek Lesbian,Electrum,Diameter: 7/16 × 1 in. (1.1 × 2.5 cm),Coins,Gift of J. Pierpont Morgan 1905,05.44.640
Drachm,Hellenistic,202–133 B.C.,East Greek Ephesian,Silver,Diameter: 11/16 × 1/8 in. 0.1oz. (1.7 × 0.3 cm 3.74g),Coins,Gift of J. Pierpont Morgan 1905,05.44.660
Coin,NULL-PERIOD,NULL-DATE,Greek,Silver,Diameter: 1 1/16 × 3/16 in. 0.3oz. (2.7 × 0.5 cm 7.51g),Coins,Gift of J. Pierpont Morgan 1905,05.44.67
Coin,NULL-PERIOD,NULL-DATE,Greek,Silver,Diameter: 5/8 × 3/16 in. 0.2oz. (1.7 × 0.5 cm 6.17g),Coins,Gift of J. Pierpont Morgan 1905,05.44.688
Silver didrachm,Hellenistic,3rd–2nd century B.C.,Greek Rhodes,Silver,Diameter: 11/16 × 1/8 in. 0.2oz. (1.8 × 0.3 cm 6.72g),Coins,Gift of J. Pierpont Morgan 1905,05.44.708
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 1 1/16 × 3/16 in. 0.6oz. (2.7 × 0.5 cm 15.77g),Coins,Gift of J. Pierpont Morgan 1905,05.44.74
Silver tetradrachm of Antiochos II,Hellenistic,ca. 261–256 B.C.,Greek Seleucid,Silver,Diameter: 1 1/8 in. 0.3 cm 0.6oz. (2.9 × 0.3 cm 17.06g),Coins,Gift of J. Pierpont Morgan 1905,05.44.776
Silver tetradrachm of Antiochos VIII Grypos,Hellenistic,125–96 B.C.,Greek Seleucid,Silver,Diameter: 1 × 1/16 in. 0.6oz. (2.6 × 0.2 cm 16.1g),Coins,Gift of J. Pierpont Morgan 1905,05.44.800
Silver tetradrachm of Eucratides I,Hellenistic,ca. 171–155 B.C.,Greek Bactrian,Silver,Diameter: 1 3/16 × 1/8 in. 0.6oz. (3 × 0.3 cm 16.78g),Coins,Gift of J. Pierpont Morgan 1905,05.44.831
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 7/8 × 13 in. 0.3oz. (2.3 × 33 cm 7.5g),Coins,Gift of J. Pierpont Morgan 1905,05.44.86
Silver tetradrachm of Ptolemy VIII Euergetes,Hellenistic,164–145 B.C.,Ptolemaic,Silver,Diameter: 1 × 1/8 in. 0.5oz. (2.5 × 0.3 cm 13.4g),Coins,Gift of J. Pierpont Morgan 1905,05.44.884
Silver shekel,NULL-PERIOD,early 3rd century B.C.,Carthaginian,Silver,19 mm,Coins,Gift of J. Pierpont Morgan 1905,05.44.925
Coin,NULL-PERIOD,NULL-DATE,NULL-CULTURE,Silver,Diameter: 13/16 × 1/8 in. 0.3oz. (2.1 × 0.3 cm 7.92g),Coins,Gift of J. Pierpont Morgan 1905,05.44.99
Bronze sestertius of Trebonianus Gallus,Late Imperial,A.D. 251–253,Roman,Bronze,H.: 1 1/16 in. (2.7 cm),Coins,Gift of William M. Laffan 1905,5.47
Terracotta kylix (drinking cup),Late Helladic III,ca. 1400–1050 B.C.,Mycenaean,Terracotta,NULL-DIMENSIONS,Vases,Rogers Fund 1906,06.1021.1
Mug,Archaic,ca. 520–500 B.C.,Greek Attic,Terracotta; red-figure,Other (width w/ handle): 4 × 5 in. (10.2 × 12.7 cm),Vases,Rogers Fund 1906,06.1021.100
Terracotta column-krater (bowl for mixing wine and water),NULL-PERIOD,ca. 520–510 B.C.,Greek Attic,Terracotta; black-figure,diameter  13 1/8 in. (33.3 cm),Vases,Rogers Fund 1906,06.1021.101
Squat Lekythos,NULL-PERIOD,NULL-DATE,Greek South Italian Campanian,Terracotta; black-glaze,Diam. of foot: 1 3/4 in. (4.4 cm),Vases,Rogers Fund 1906,06.1021.102
Terracotta oinochoe (jug),Late Classical,4th–3rd century B.C.,Etruscan,Terracotta; black-glaze,H. 6 15/16 in. (17.6 cm),Vases,Rogers Fund 1906,06.1021.103
Terracotta oinochoe (jug),Classical,late 5th century B.C.,Greek Attic,Terracotta; black-glaze,H.: 8 1/16 in. (20.5 cm),Vases,Rogers Fund 1906,06.1021.104
Terracotta oinochoe (jug),Classical,late 5th century B.C.,Greek Attic,Terracotta; black-glaze,H. 7 5/8 in. (19.4 cm),Vases,Rogers Fund 1906,06.1021.105
Terracotta oinochoe (jug),Classical,5th century B.C.,Greek Attic,Terracotta; black-glaze,H. 5 3/8 in. (13.7 cm),Vases,Rogers Fund 1906,06.1021.106
Terracotta pyxis (box),Late Classical,4th–3rd century B.C.,Greek South Italian Campanian,Terracotta; black-glaze,H. with cover  3 3/8 in. (8.6 cm),Vases,Rogers Fund 1906,06.1021.107a b
Terracotta Nolan neck-amphora (jar),Classical,1st half of the 5th century B.C.,Greek Attic,Terracotta; black-glaze,H.: 10 1/8 in. (25.7 cm),Vases,Rogers Fund 1906,06.1021.108
Terracotta pyxis (box),Late Classical,4th century B.C.,Greek South Italian Campanian,Terracotta; black-glaze,H. with cover  2 1/2 in. (6.3 cm),Vases,Rogers Fund 1906,06.1021.109a b
Terracotta aryballos (perfume vase),Early Corinthian,ca. 620–590 B.C.,Greek Corinthian,Terracotta; black-figure,H. 2 1/2 in. (6.4 cm),Vases,Rogers Fund 1906,06.1021.11
Kylix,Classical,ca. 475–450 B.C.,Greek Attic,Terracotta; black-glaze,Diameter: 4 5/16 × 2 9/16 in. (10.9 × 6.5 cm),Vases,Rogers Fund 1906,06.1021.110
Kylix,Classical,late 5th century B.C.,Greek Attic,Terracotta; red-figure,Diam. of foot: 3 3/16 in. (8.2 cm),Vases,Rogers Fund 1906,06.1021.111
Terracotta aryballos (oil flask),Archaic,ca. 510 B.C.,Greek Attic,Terracotta; black-glaze,H. 3 1/2 in. (8.9 cm),Vases,Rogers Fund 1906,06.1021.112
Hydria,Late Classical,early 4th century B.C.,Greek Attic,Terracotta; black-glaze,NULL-DIMENSIONS,Miscellaneous-Stucco,Rogers Fund 1906,06.1021.113
Terracotta Nolan neck-amphora (jar),Classical,ca. 480 B.C.,Greek Attic,Terracotta; red-figure,H.: 13 1/8 x 7 1/4 in. (33.3 x 18.4 cm),Vases,Rogers Fund 1906,06.1021.114
Terracotta Nolan neck-amphora (jar),Classical,ca. 460 B.C.,Greek Attic,Terracotta; red-figure,H. 13 in. (33 cm),Vases,Rogers Fund 1906,06.1021.115
Terracotta neck-amphora (jar) with twisted handles,Classical,ca. 440 B.C.,Greek Attic,Terracotta; red-figure,diameter  12 in. (30.5 cm),Vases,Rogers Fund 1906,06.1021.116
Terracotta Nolan amphora (jar),Classical,ca. 480–470 B.C.,Greek Attic,Terracotta; red-figure,H. 13 11/16 in. (34.8 cm),Vases,Rogers Fund 1906,06.1021.117
Terracotta Nolan neck-amphora (jar),Classical,ca. 440–430 B.C.,Greek Attic,Terracotta; red-figure,H.: 13 in. (33 cm),Vases,Rogers Fund 1906,06.1021.118
Terracotta pyxis (box),Classical,ca. 425–400 B.C.,Greek Attic,Terracotta; red-figure,diameter  4 3/4 in. (12.1 cm),Vases,Rogers Fund 1906,06.1021.119a b
Terracotta alabastron (perfume vase),Early Corinthian,ca. 620–590 B.C.,Greek Corinthian,Terracotta,H. 3 1/8 in. (7.9 cm),Vases,Rogers Fund 1906,06.1021.12
Terracotta pyxis (box),Classical,late 5th century B.C.,Greek Attic,Terracotta; red-figure,H. 3 in. (7.6 cm),Vases,Rogers Fund 1906,06.1021.120a b
Terracotta pyxis (box),Classical,ca. 425–400 B.C.,Greek Attic,Terracotta; red-figure,diameter of lid  5 7/8 in. (14.9 cm),Vases,Rogers Fund 1906,06.1021.121a b
Terracotta pyxis (box),Classical,ca. 400 B.C.,Greek Attic,Terracotta; red-figure,Other: 2 3/4 x 4 5/8 in. (7 x 11.7 cm),Vases,Rogers Fund 1906,06.1021.122a b
Pyxis with lid,Classical,ca. 450–425 B.C.,Greek Attic,Terracotta; red-figure,Diameter (.b lid): 3 1/4 × 1 5/16 in. (8.3 × 3.3 cm),Vases,Rogers Fund 1906,06.1021.123a b
Lekythos,Classical,mid-5th century B.C.,Greek Attic,Terracotta; red-figure,Diameter: 2 7/16 × 1 9/16 × 1 3/4 in. (6.2 × 3.9 × 4.4 cm),Vases,Rogers Fund 1906,06.1021.124
Lekythos,Classical,2nd quarter of the 5th century B.C.,Greek Attic,Terracotta; red-figure white-ground,Diameter: 2 13/16 × 1 11/16 × 1 15/16 in. (7.1 × 4.3 × 4.9 cm),Vases,Rogers Fund 1906,06.1021.125
Lekythos,Classical,ca. 460 B.C.,Greek Attic,Terracotta; red-figure white-ground,Diameter: 2 1/4 × 1 3/8 × 1 13/16 in. (5.7 × 3.5 × 4.6 cm),Vases,Rogers Fund 1906,06.1021.126
Lekythos,Classical,2nd quarter of the 5th century B.C.,Greek Attic,Terracotta; red-figure white-ground,Diameter: 4 7/8 × 2 3/16 × 2 5/8 in. (12.4 × 5.6 × 6.6 cm),Vases,Rogers Fund 1906,06.1021.127
Lekythos,Classical,ca. 450 B.C.,Greek Attic,Terracotta; red-figure white-ground,Diameter: 3 7/16 × 1 15/16 × 2 1/4 in. (8.8 × 4.9 × 5.7 cm),Vases,Rogers Fund 1906,06.1021.128
Terracotta lekythos (oil flask),Classical,ca. 460–450 B.C.,Greek Attic,Terracotta; white-ground,H.: 11 3/8 in. (28.9 cm),Vases,Rogers Fund 1906,06.1021.129
Terracotta aryballos (oil flask),Early Corinthian,ca. 620–590 B.C.,Greek Corinthian,Terracotta; black-figure,H.: 2 1/4 in. (5.7 cm),Vases,Rogers Fund 1906,06.1021.13
Lekythos,Classical,ca. 420 B.C.,Greek Attic,Terracotta; white-ground,Diameter: 3 7/8 × 2 3/16 × 2 5/8 in. (9.8 × 5.5 × 6.7 cm),Vases,Rogers Fund 1906,06.1021.130
Lekythos,Classical,ca. 420 B.C.,Greek Attic,Terracotta; red-figure white-ground,Diameter: 3 5/16 × 2 3/16 × 2 5/16 in. (8.4 × 5.6 × 5.9 cm),Vases,Rogers Fund 1906,06.1021.131
Lekythos,Classical,ca. 450 B.C.,Greek Attic,Terracotta; red-figure white-ground,NULL-DIMENSIONS,Vases,Rogers Fund 1906,06.1021.132
Terracotta lekythos (oil flask),Classical,ca. 420 B.C.,Greek Attic,Terracotta; white-ground,H.: 11 5/16 in. (28.7 cm),Vases,Rogers Fund 1906,06.1021.133
Terracotta lekythos (oil flask),Classical,ca. 460 B.C.,Greek Attic,Terracotta; white-ground,H. 14 3/4 in. (37.5 cm),Vases,Rogers Fund 1906,06.1021.134
Terracotta lekythos (oil flask),Classical,ca. 420–400 B.C.,Greek Attic,Terracotta; white-ground,H.: 17 3/4 in. (45.1 cm),Vases,Rogers Fund 1906,06.1021.135
Terracotta lekythos (oil flask),Classical,ca. 420–410 B.C.,Greek Attic,Terracotta; white-ground,H.: 16 1/4 in. (41.3 cm),Vases,Rogers Fund 1906,06.1021.136
Lekythos,Classical,ca. 430 B.C.,Greek Attic,Terracotta; red-figure white-ground,Diameter: 3 13/16 × 2 3/16 × 2 5/8 in. (9.7 × 5.6 × 6.7 cm),Vases,Rogers Fund 1906,06.1021.137
Fragmentary terracotta kylix (drinking cup),Archaic,late 6th century B.C.,Greek Attic,Terracotta; red-figure,Other: 3 7/8 x 4 1/8 in. (9.8 x 10.5 cm),Vases,Rogers Fund 1906,06.1021.139
Terracotta stemmed pyxis (box for cosmetics or toliet articles),Middle Corinthian,ca. 590–570 B.C.,Greek Corinthian,Terracotta; black-figure,H.: 10 1/2 in. (26.7 cm),Vases,Rogers Fund 1906,06.1021.14
Volute-krater fragments,Late Classical,early 4th century B.C.,Greek Attic,Terracotta; red-figure,NULL-DIMENSIONS,Vases,Rogers Fund 1906,06.1021.140a–c
Calyx-krater fragment,Classical,ca. 450–440 B.C.,Greek Attic,Terracotta; red-figure,2 7/16 × 4 3/4 × 1/4 in. (6.1 × 12 × 0.6 cm),Vases,Rogers Fund 1906,06.1021.141
Terracotta pyxis (box),Classical,late 5th century B.C.,Greek Attic,Terracotta; red-figure,diameter  2 1/2 in. (6.4 cm),Vases,Rogers Fund 1906,06.1021.142a b
Terracotta pelike (jar),Classical,ca. 460–450 B.C.,Greek Attic,Terracotta; red-figure,13 11/16in. (34.8cm),Vases,Rogers Fund 1906,06.1021.144
Lekythos,Classical,ca. 480–470 B.C.,Greek Attic,Terracotta; red-figure,Height: 11 3/8 in. (28.9 cm),Vases,Rogers Fund 1906,06.1021.146
Olpe,Classical,ca. 430 B.C.,Greek Attic,Terracotta; red-figure,Diam. of foot: 2 1/8 in. (5.4 cm),Vases,Rogers Fund 1906,06.1021.147
Terracotta pelike (jar),Classical,ca. 430–420 B.C.,Greek Attic,Terracotta; red-figure,H.: 11 in. (27.9 cm),Vases,Rogers Fund 1906,06.1021.148
Terracotta column-krater (bowl for mixing wine and water),Classical,ca. 460 B.C.,Greek Attic,Terracotta; red-figure,Other: 17 1/2 in. (44.5 cm),Vases,Rogers Fund 1906,06.1021.149
Terracotta alabastron (perfume vase),Early Corinthian,ca. 620–590 B.C.,Greek Corinthian,Terracotta,H. 5 5/16 in. (13.5 cm),Vases,Rogers Fund 1906,06.1021.15
Terracotta amphora (jar),Classical,ca. 470–460 B.C.,Greek Attic,Terracotta; red-figure,H. 19 7/16 in. (49.4 cm),Vases,Rogers Fund 1906,06.1021.151
Terracotta column-krater (bowl for mixing wine and water),Classical,ca. 475–465 B.C.,Greek Attic,Terracotta; red-figure,diameter  13 11/16 in. (34.7 cm),Vases,Rogers Fund 1906,06.1021.152
Kylix Little-master cup/band-cup,Archaic,3rd quarter of the 6th century B.C.,Greek Attic,Terracotta; black-figure,Diameter: 4 5/16 × 1 7/8 in. (10.9 × 4.7 cm),Vases,Rogers Fund 1906,06.1021.153
Pyxis,Classical,late 5th century B.C.,Greek Attic,Terracotta; red-figure,Height: 3/8 in. (1 cm),Vases,Rogers Fund 1906,06.1021.154a b
Terracotta kylix: lip-cup (drinking cup),Archaic,ca. 550–530 B.C.,Greek Attic,Terracotta; black-figure,Width: 7 3/4 in. (19.7 cm),Vases,Rogers Fund 1906,06.1021.155
Terracotta miniature Panathenaic amphora,Classical,ca. 400 B.C.,Greek Attic,Terracotta; black-figure,H.: 3 5/16 in. (8.4 cm),Vases,Rogers Fund 1906,06.1021.156
Terracotta kylix: band-cup (drinking cup),Archaic,ca. 560–550 B.C.,Greek Attic,Terracotta; black-figure,diameter  8 1/8 in. (20.6 cm),Vases,Rogers Fund 1906,06.1021.157
Lekythos,Archaic,ca. 500–490 B.C.,Greek Attic,Terracotta; black-figure,Diameter: 2 3/16 × 1 3/16 × 1 3/8 in. (5.5 × 3 × 3.5 cm),Vases,Rogers Fund 1906,06.1021.158
Terracotta kylix (drinking cup),Archaic,ca. 550 B.C.,Greek Attic,Terracotta; black-figure,Other: 4 13/16 x 10 in. (12.2 x 25.4 cm),Vases,Rogers Fund 1906,06.1021.159
